School_Name,City,County_Name,School_Enrollment
CAYUGA H S,Tennessee Colony,ANDERSON COUNTY,166
ELKHART H S,Elkhart,ANDERSON COUNTY,344
FRANKSTON H S,Frankston,ANDERSON COUNTY,223
NECHES H S,Palestine,ANDERSON COUNTY,95
PALESTINE H S,Palestine,ANDERSON COUNTY,1016
WESTWOOD H S,Palestine,ANDERSON COUNTY,434
SLOCUM H S,Elkhart,ANDERSON COUNTY,122
ANDREWS H S,Andrews,ANDREWS COUNTY,1146
ANDREWS EDUCATION CENTER,Andrews,ANDREWS COUNTY,57
PINEYWOODS COMMUNITY ACADEMY H S,Lufkin,ANGELINA COUNTY,261
PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,Livingston,ANGELINA COUNTY,0
HUDSON H S,Lufkin,ANGELINA COUNTY,804
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,9
LUFKIN H S,Lufkin,ANGELINA COUNTY,2131
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,52
HUNTINGTON H S,Huntington,ANGELINA COUNTY,468
PRIDE ALTER SCH,Huntington,ANGELINA COUNTY,10
DIBOLL H S,Diboll,ANGELINA COUNTY,499
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,4
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,0
CENTRAL H S,Pollok,ANGELINA COUNTY,390
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,4
ROCKPORT-FULTON H S,Rockport,ARANSAS COUNTY,921
HOLLIDAY H S,Holliday,ARCHER COUNTY,324
WINDTHORST H S,Windthorst,ARCHER COUNTY,117
CHARLOTTE H S,Charlotte,ATASCOSA COUNTY,125
JOURDANTON H S,Jourdanton,ATASCOSA COUNTY,430
LYTLE H S,Lytle,ATASCOSA COUNTY,479
PLEASANTON H S,Pleasanton,ATASCOSA COUNTY,965
PLEASANTON ISD SCHOOL OF CHOICE,Pleasanton,ATASCOSA COUNTY,14
POTEET H S,Poteet,ATASCOSA COUNTY,461
BELLVILLE H S,Bellville,AUSTIN COUNTY,704
SEALY H S,Sealy,AUSTIN COUNTY,817
BRAZOS H S,Wallis,AUSTIN COUNTY,253
MULESHOE H S,Muleshoe,BAILEY COUNTY,362
BANDERA H S,Bandera,BANDERA COUNTY,658
BASTROP H S,Bastrop,BASTROP COUNTY,1487
CEDAR CREEK H S,Cedar Creek,BASTROP COUNTY,1743
COLORADO RIVER COLLEGIATE ACADEMY,Bastrop,BASTROP COUNTY,232
GENESIS H S,Bastrop,BASTROP COUNTY,139
ELGIN H S,Elgin,BASTROP COUNTY,1380
PHOENIX H S,Elgin,BASTROP COUNTY,48
SMITHVILLE H S,Smithville,BASTROP COUNTY,584
SEYMOUR H S,Seymour,BAYLOR COUNTY,175
A C JONES H S,Beeville,BEE COUNTY,926
SKIDMORE-TYNAN H S,Skidmore,BEE COUNTY,253
RICHARD MILBURN ALTER H S (KILLEEN),Killeen,BELL COUNTY,160
RICHARD MILBURN ACADEMY ODESSA,Odessa,BELL COUNTY,403
RICHARD MILBURN ACADEMY LUBBOCK,Lubbock,BELL COUNTY,163
RICHARD MILBURN ACADEMY HOUSTON (SUBURBAN),Houston,BELL COUNTY,214
RICHARD MILBURN ACADEMY FORT WORTH,Fort Worth,BELL COUNTY,171
RICHARD MILBURN ACADEMY CORPUS CHRISTI,Corpus Christi,BELL COUNTY,252
RICHARD MILBURN ACADEMY AMARILLO,Amarillo,BELL COUNTY,141
RICHARD MILBURN ACADEMY PASADENA,Pasadena,BELL COUNTY,196
RICHARD MILBURN ACADEMY MIDLAND SOUTH,Midland,BELL COUNTY,161
GATEWAY TECH H S,Georgetown,BELL COUNTY,80
ACADEMY H S,Little River Academy,BELL COUNTY,487
BELTON H S,Belton,BELL COUNTY,2884
BELTON NEW TECH H S AT WASKOW,Belton,BELL COUNTY,0
HOLLAND H S,Holland,BELL COUNTY,207
KILLEEN H S,Killeen,BELL COUNTY,2162
C E ELLISON H S,Killeen,BELL COUNTY,2668
KILLEEN ISD CAREER CENTER,Killeen,BELL COUNTY,0
GATEWAY H S,Killeen,BELL COUNTY,52
PATHWAYS ACADEMIC CAMPUS,Killeen,BELL COUNTY,397
HARKER HEIGHTS H S,Harker Heights,BELL COUNTY,2700
ROBERT M SHOEMAKER H S,Killeen,BELL COUNTY,2215
KILLEEN ISD EARLY COLLEGE H S,Fort Hood,BELL COUNTY,1060
CHAPARRAL H S,Killeen,BELL COUNTY,0
ROGERS H S,Rogers,BELL COUNTY,282
SALADO H S,Salado,BELL COUNTY,663
TEMPLE H S,Temple,BELL COUNTY,2292
FRED W EDWARDS ACADEMY AEC,Temple,BELL COUNTY,103
TROY H S,Troy,BELL COUNTY,445
POR VIDA ACADEMY CHARTER H S,San Antonio,BEXAR COUNTY,89
