Park,County,Census link
Abilene State Park,Taylor County,"https://data.census.gov/profile/Taylor_County,_Texas?g=050XX00US48441"
Atlanta State Park,Cass,"https://data.census.gov/profile/Cass_County,_Texas?g=050XX00US48067"
Balmorhea State Park,Reeves,"https://data.census.gov/profile/Reeves_County,_Texas?g=050XX00US48389"
Bastrop State Park,Bastrop,"https://data.census.gov/profile/Bastrop_County,_Texas?g=050XX00US48021"
Bentsen-Rio Grande Valley State Park,Hidalgo,"https://data.census.gov/profile/Hidalgo_County,_Texas?g=050XX00US48215"
Big Bend Ranch State Park,Presidio,"https://data.census.gov/profile/Presidio_County,_Texas?g=050XX00US48377"
Big Bend Ranch State Park,Brewster,"https://data.census.gov/profile/Brewster_County,_Texas?g=050XX00US48043"
Big Spring State Park,Howard,"https://data.census.gov/profile/Howard_County,_Texas?g=050XX00US48227"
Blanco State Park,Blanco,"https://data.census.gov/profile/Blanco_County,_Texas?g=050XX00US48031"
Bonham State Park,Fannin,"https://data.census.gov/profile/Fannin_County,_Texas?g=050XX00US48147"
Brazos Bend State Park,Fort Bend,"https://data.census.gov/profile/Fort_Bend_County,_Texas?g=050XX00US48157"
Buescher State Park,Bastrop,"https://data.census.gov/profile/Bastrop_County,_Texas?g=050XX00US48021"
Caddo Lake State Park,Harrison,"https://data.census.gov/profile/Harrison_County,_Texas?g=050XX00US48203"
Caprock Canyons State Park,Briscoe,"https://data.census.gov/profile/Briscoe_County,_Texas?g=050XX00US48045"
Cedar Hill State Park,Dallas,"https://data.census.gov/profile/Dallas_County,_Texas?g=050XX00US48113"
Choke Canyon State Park,Live Oak,"https://data.census.gov/profile/Live_Oak_County,_Texas?g=050XX00US48297"
Choke Canyon State Park,McMullen,"https://data.census.gov/profile/McMullen_County,_Texas?g=050XX00US48311"
Cleburne State Park,Johnson,"https://data.census.gov/profile/Johnson_County,_Texas?g=050XX00US48251"
Colorado Bend State Park,Lampasas,"https://data.census.gov/profile/Lampasas_County,_Texas?g=050XX00US48281"
Colorado Bend State Park,San Saba,"https://data.census.gov/profile/San_Saba_County,_Texas?g=050XX00US48411"
Cooper Lake State Park,Cooper,"https://data.census.gov/profile/Cooper_CCD,_Delta_County,_Texas?g=060XX00US4811990840"
Copper Breaks State Park,Hardeman,"https://data.census.gov/profile/Hardeman_County,_Texas?g=050XX00US48197"
Daingerfield State Park,Morris,"https://data.census.gov/profile/Morris_County,_Texas?g=050XX00US48343"
Davis Mountains State Park,Davis,"https://data.census.gov/profile/Jeff_Davis_County,_Texas?g=050XX00US48243"
Devils River State Natural Area,Val Verde,"https://data.census.gov/profile/Val_Verde_County,_Texas?g=050XX00US48465"
Dinosour Vally State Park,Somervell,"https://data.census.gov/profile/Somervell_County,_Texas?g=050XX00US48425"
Eisenhower State Park,Grayson,"https://data.census.gov/profile/Grayson_County,_Texas?g=050XX00US48181"
Enchanted Rock State Natural Area,Llano,"https://data.census.gov/profile/Llano_County,_Texas?g=050XX00US48299"
Estero Llano Grande State Park,Hidalgo,"https://data.census.gov/profile/Hidalgo_County,_Texas?g=050XX00US48215"
Fairfield Lake State Park,Freestone,"https://data.census.gov/profile/Freestone_County,_Texas?g=050XX00US48161"
Falcon State Park,Zapata,"https://data.census.gov/profile/Zapata_County,_Texas?g=050XX00US48505"
Falcon State Park,Starr,"https://data.census.gov/profile/Starr_County,_Texas?g=050XX00US48427"
Fort Boggy State Park,Leon,"https://data.census.gov/profile/Leon_County,_Texas?g=050XX00US48289"
Fort Parker State Park,Limestone,"https://data.census.gov/profile/Limestone_County,_Texas?g=050XX00US48293"
Fort Richardson State Park,Jack,"https://data.census.gov/profile/Jack_County,_Texas?g=050XX00US48237"
Franklin Mountains State Park,El Paso,"https://data.census.gov/profile/El_Paso_County,_Texas?g=050XX00US48141"
Galveston Island State Park,Galveston,"https://data.census.gov/profile/Galveston_County,_Texas?g=050XX00US48167"
Garner State Park,Uvalde,"https://data.census.gov/profile/Uvalde_County,_Texas?g=050XX00US48463"
Goliad State Park ,Goliad,"https://data.census.gov/profile/Goliad_County,_Texas?g=050XX00US48175"
Goose Island State Park,Aransas,"https://data.census.gov/profile/Aransas_County,_Texas?g=050XX00US48007"
Government Canyon State Natural Area,Bexar,"https://data.census.gov/profile/Bexar_County,_Texas?g=050XX00US48029"
Guadalupe River State Park,Comall,"https://data.census.gov/profile/Comal_County,_Texas?g=050XX00US48091"
Guadalupe River State Park,Kendall,"https://data.census.gov/profile/Kendall_County,_Texas?g=050XX00US48259"
Hueco Tanks State Park,El Paso,"https://data.census.gov/profile/El_Paso_County,_Texas?g=050XX00US48141"
Huntsville State Park,Walker,"https://data.census.gov/profile/Walker_County,_Texas?g=050XX00US48471"
Inks Lake State Park,Burnet,"https://data.census.gov/profile/Burnet_County,_Texas?g=050XX00US48053"
Kickapoo Cavern State Park,Kinney,"https://data.census.gov/profile/Kinney_County,_Texas?g=050XX00US48271"
Kickapoo Cavern State Park,Edwards,"https://data.census.gov/profile/Edwards_County,_Texas?g=050XX00US48137"
Lake Arrowhead State Park,Clay,"https://data.census.gov/profile/Clay_County,_Texas?g=050XX00US48077"
Lake Bob Sandlin State Park,Titus,"https://data.census.gov/profile/Titus_County,_Texas?g=050XX00US48449"
Lake Bob Sandlin State Park,Camp,"https://data.census.gov/profile/Camp_County,_Texas?g=050XX00US48063"
Lake Bob Sandlin State Park,Fanklin,"https://data.census.gov/profile/Franklin_County,_Texas?g=050XX00US48159"
Lake Brownwood State Park,Brown,"https://data.census.gov/profile/Brown_County,_Texas?g=050XX00US48049"
Lake Colorado City State Park,Mitchell,"https://data.census.gov/profile/Mitchell_County,_Texas?g=050XX00US48335"
Lake Corpus Christi State Park,San Patricio,"https://data.census.gov/profile/San_Patricio_County,_Texas?g=050XX00US48409"
Lake Livingston State Park,Polk,"https://data.census.gov/profile/Polk_County,_Texas?g=050XX00US48373"
Lake Mineral Wells State Park,Parker,"https://data.census.gov/profile/Parker_County,_Texas?g=050XX00US48367"
Lake Somerville State Park,Burleson,"https://data.census.gov/profile/Burleson_County,_Texas?g=050XX00US48051"
Lake Somerville State Park,Lee,"https://data.census.gov/profile/Burleson_County,_Texas?g=050XX00US48051"
Lake Tawakoni State Park,Hunt,"https://data.census.gov/profile/Hunt_County,_Texas?g=050XX00US48231"
Lake Whitney State Park,Hill,"https://data.census.gov/profile/Hill_County,_Texas?g=050XX00US48217"
Lockhart State Park,Caldwell,"https://data.census.gov/profile/Caldwell_County,_Texas?g=050XX00US48055"
Longhorn Cavern State Park,Burnet,"https://data.census.gov/profile/Burnet_County,_Texas?g=050XX00US48053"
LBJ State Park,Gillespie,"https://data.census.gov/profile/Gillespie_County,_Texas?g=050XX00US48171"
Martin Creek Lake State Park,Rusk,"https://data.census.gov/profile/Rusk_County,_Texas?g=050XX00US48401"
Martin Dies Jr. State Park,Jasper,"https://data.census.gov/profile/Jasper_County,_Texas?g=050XX00US48241"
Martin Dies Jr. State Park,Tyler,"https://data.census.gov/profile/Tyler_County,_Texas?g=050XX00US48457"
McKinney Falls State Park,Travis,"https://data.census.gov/profile/Travis_County,_Texas?g=050XX00US48453"
Meridian State Park ,Bosque,"https://data.census.gov/profile/Bosque_County,_Texas?g=050XX00US48035"
Mission Tejas State Park,Houston,"https://data.census.gov/profile/Houston_County,_Texas?g=050XX00US48225"
Monahans Sandhills State Park,Ward,"https://data.census.gov/profile/Ward_County,_Texas?g=050XX00US48475"
Monahans Sandhills State Park,Winkler,"https://data.census.gov/profile/Winkler_County,_Texas?g=050XX00US48495"
Mother Neff State Park,Coryell,"https://data.census.gov/profile/Coryell_County,_Texas?g=050XX00US48099"
Mustang Island State Park,Nueces,"https://data.census.gov/profile/Nueces_County,_Texas?g=050XX00US48355"
Old Tunnel State Park,Kendall,"https://data.census.gov/profile/Kendall_County,_Texas?g=050XX00US48259"
Palmetto State Park,Gonzales,"https://data.census.gov/profile/Gonzales_County,_Texas?g=050XX00US48177"
Palo Duro Canyon State Park,Randall,"https://data.census.gov/profile/Randall_County,_Texas?g=050XX00US48381"
Perdernales Falls State Park,Blanco,"https://data.census.gov/profile/Blanco_County,_Texas?g=050XX00US48031"
