Park,County,Size in acres,Census link
Abilene State Park,Taylor County,529.4,"https://data.census.gov/profile/Taylor_County,_Texas?g=050XX00US48441"
Atlanta State Park,Cass,"1,475","https://data.census.gov/profile/Cass_County,_Texas?g=050XX00US48067"
Balmorhea State Park,Reeves,751,"https://data.census.gov/profile/Reeves_County,_Texas?g=050XX00US48389"
Bastrop State Park,Bastrop,"6,600","https://data.census.gov/profile/Bastrop_County,_Texas?g=050XX00US48021"
Bentsen-Rio Grande Valley State Park,Hidalgo,764,"https://data.census.gov/profile/Hidalgo_County,_Texas?g=050XX00US48215"
Big Bend Ranch State Park,Presidio,"311,000","https://data.census.gov/profile/Presidio_County,_Texas?g=050XX00US48377"
Big Bend Ranch State Park,Brewster,"311,000","https://data.census.gov/profile/Brewster_County,_Texas?g=050XX00US48043"
Big Spring State Park,Howard,381.99,"https://data.census.gov/profile/Howard_County,_Texas?g=050XX00US48227"
Blanco State Park,Blanco,104.6,"https://data.census.gov/profile/Blanco_County,_Texas?g=050XX00US48031"
Bonham State Park,Fannin,261,"https://data.census.gov/profile/Fannin_County,_Texas?g=050XX00US48147"
Brazos Bend State Park,Fort Bend,"4,897","https://data.census.gov/profile/Fort_Bend_County,_Texas?g=050XX00US48157"
Buescher State Park,Bastrop,"1,016.70","https://data.census.gov/profile/Bastrop_County,_Texas?g=050XX00US48021"
Caddo Lake State Park,Harrison,468,"https://data.census.gov/profile/Harrison_County,_Texas?g=050XX00US48203"
Caprock Canyons State Park,Briscoe,"15,314","https://data.census.gov/profile/Briscoe_County,_Texas?g=050XX00US48045"
Cedar Hill State Park,Dallas,"1,826","https://data.census.gov/profile/Dallas_County,_Texas?g=050XX00US48113"
Choke Canyon State Park,Live Oak,"25,670","https://data.census.gov/profile/Live_Oak_County,_Texas?g=050XX00US48297"
Choke Canyon State Park,McMullen,"25,670","https://data.census.gov/profile/McMullen_County,_Texas?g=050XX00US48311"
Cleburne State Park,Johnson,528,"https://data.census.gov/profile/Johnson_County,_Texas?g=050XX00US48251"
Colorado Bend State Park,Lampasas,"5,328.30","https://data.census.gov/profile/Lampasas_County,_Texas?g=050XX00US48281"
Colorado Bend State Park,San Saba,"5,328.30","https://data.census.gov/profile/San_Saba_County,_Texas?g=050XX00US48411"
Cooper Lake State Park,Cooper,"3,026","https://data.census.gov/profile/Cooper_CCD,_Delta_County,_Texas?g=060XX00US4811990840"
